Reached Exception after 13230005 millisecondsThe pareto front has 874 solutions : Crit0=378678,Crit1=-506963,Crit2=2934,end
UG_1191=34, Crit0:8668,Crit1:-4752,Crit2:36,end
UG_1192=34, Crit0:6884,Crit1:-9468,Crit2:28,end
UG_1241=46, Crit0:1649,Crit1:-5570,Crit2:7,end
UG_1242=1, Crit0:684,Crit1:-5698,Crit2:9,end
UG_1243=1, Crit0:751,Crit1:-2146,Crit2:7,end
UG_1244=46602, Crit0:79,Crit1:-3968,Crit2:13,end
UG_1265=3, Crit0:3929,Crit1:-12383,Crit2:25,end
UG_1266=34, Crit0:4024,Crit1:-5415,Crit2:47,end
UG_1277=500, Crit0:427,Crit1:-14743,Crit2:4,end
UG_1319=310, Crit0:253,Crit1:-1056,Crit2:5,end
UG_1350=19, Crit0:1662,Crit1:-8151,Crit2:23,end
UG_1351=20700, Crit0:356,Crit1:-3675,Crit2:22,end
UG_1365=801, Crit0:0,Crit1:0,Crit2:26,end
UG_1371=800, Crit0:0,Crit1:0,Crit2:9,end
UG_1372=801, Crit0:0,Crit1:0,Crit2:7,end
UG_1373=801, Crit0:0,Crit1:0,Crit2:4,end
UG_1393=19, Crit0:1773,Crit1:-13315,Crit2:28,end
UG_1405=34, Crit0:742,Crit1:-20420,Crit2:7,end
Crit0=378064,Crit1=-505755,Crit2=2943,end
UG_720=1, Crit0:13323,Crit1:-19710,Crit2:130,end
UG_724=21700, Crit0:2964,Crit1:-3297,Crit2:174,end
UG_775=36, Crit0:20406,Crit1:-7904,Crit2:70,end
UG_776=1, Crit0:4535,Crit1:-3108,Crit2:16,end
UG_875=500, Crit0:2687,Crit1:-3489,Crit2:14,end
UG_876=34, Crit0:5140,Crit1:-3746,Crit2:39,end
UG_877=500, Crit0:1845,Crit1:-3608,Crit2:17,end
UG_878=1, Crit0:4439,Crit1:-3898,Crit2:43,end
UG_879=1, Crit0:6442,Crit1:-4095,Crit2:59,end
UG_880=35, Crit0:2052,Crit1:-4008,Crit2:27,end
UG_881=34, Crit0:3358,Crit1:-3842,Crit2:47,end
UG_882=34, Crit0:457,Crit1:-4025,Crit2:7,end
UG_883=20, Crit0:5503,Crit1:-4141,Crit2:66,end
UG_884=12, Crit0:3514,Crit1:-3875,Crit2:12,end
UG_885=35, Crit0:5587,Crit1:-4001,Crit2:49,end
UG_886=35, Crit0:8260,Crit1:-3446,Crit2:30,end
UG_887=19, Crit0:4361,Crit1:-4069,Crit2:45,end
UG_934=34, Crit0:4449,Crit1:-3762,Crit2:26,end
UG_935=34, Crit0:17687,Crit1:-3551,Crit2:78,end
UG_936=19, Crit0:3852,Crit1:-3861,Crit2:21,end
UG_937=34, Crit0:4051,Crit1:-3963,Crit2:32,end
UG_938=1, Crit0:3706,Crit1:-4060,Crit2:34,end
UG_939=19, Crit0:5909,Crit1:-3919,Crit2:35,end
UG_940=34, Crit0:3362,Crit1:-3469,Crit2:36,end
UG_941=21, Crit0:15639,Crit1:-3672,Crit2:64,end
UG_942=21, Crit0:3406,Crit1:-2368,Crit2:26,end
UG_943=19, Crit0:4518,Crit1:-3205,Crit2:25,end
UG_944=2, Crit0:7799,Crit1:-3732,Crit2:31,end
UG_945=19, Crit0:2462,Crit1:-4243,Crit2:35,end
UG_946=36700, Crit0:557,Crit1:-1994,Crit2:24,end
UG_947=35, Crit0:2089,Crit1:-3531,Crit2:20,end
UG_948=19, Crit0:1491,Crit1:-4243,Crit2:21,end
UG_949=35, Crit0:3769,Crit1:-3531,Crit2:37,end
UG_950=20, Crit0:7397,Crit1:-4273,Crit2:88,end
UG_951=35, Crit0:6974,Crit1:-3462,Crit2:26,end
UG_952=36, Crit0:2882,Crit1:-3379,Crit2:19,end
UG_953=20, Crit0:7838,Crit1:-3725,Crit2:35,end
UG_954=20, Crit0:4033,Crit1:-4110,Crit2:35,end
UG_955=35, Crit0:4228,Crit1:-3510,Crit2:40,end
UG_956=19, Crit0:1940,Crit1:-4150,Crit2:20,end
UG_957=20, Crit0:4319,Crit1:-4137,Crit2:49,end
UG_958=35, Crit0:2610,Crit1:-3999,Crit2:23,end
UG_959=35, Crit0:5688,Crit1:-4017,Crit2:53,end
UG_1007=35, Crit0:6489,Crit1:-8548,Crit2:25,end
UG_1008=34, Crit0:10510,Crit1:-6912,Crit2:34,end
UG_1009=21, Crit0:4014,Crit1:-6850,Crit2:22,end
UG_1011=36, Crit0:1231,Crit1:-7654,Crit2:13,end
UG_1012=500700, Crit0:969,Crit1:-3533,Crit2:39,end
UG_1015=34, Crit0:5154,Crit1:-7764,Crit2:37,end
UG_1096=19, Crit0:6364,Crit1:-7716,Crit2:38,end
UG_1105=500, Crit0:804,Crit1:-8831,Crit2:21,end
UG_1106=1, Crit0:7699,Crit1:-8282,Crit2:57,end
UG_1107=1, Crit0:1058,Crit1:-8530,Crit2:17,end
UG_1108=21, Crit0:15552,Crit1:-7244,Crit2:64,end
UG_1109=46700, Crit0:857,Crit1:-3935,Crit2:23,end
UG_1153=34, Crit0:18737,Crit1:-8363,Crit2:95,end
UG_1158=25, Crit0:7337,Crit1:-7674,Crit2:72,end
UG_1159=2, Crit0:3719,Crit1:-13259,Crit2:55,end
UG_1168=34, Crit0:2613,Crit1:-10370,Crit2:28,end
UG_1169=46, Crit0:3499,Crit1:-10270,Crit2:24,end
UG_1170=21, Crit0:3577,Crit1:-10676,Crit2:36,end
UG_1171=21, Crit0:2831,Crit1:-10661,Crit2:28,end
UG_1172=19, Crit0:5416,Crit1:-10789,Crit2:39,end
UG_1173=19, Crit0:1730,Crit1:-10789,Crit2:12,end
UG_1174=500, Crit0:725,Crit1:-11055,Crit2:8,end
UG_1175=35, Crit0:1844,Crit1:-6283,Crit2:23,end
UG_1176=34, Crit0:1937,Crit1:-10420,Crit2:23,end
UG_1177=19, Crit0:3544,Crit1:-6087,Crit2:20,end
UG_1191=34, Crit0:8668,Crit1:-4752,Crit2:36,end
UG_1192=34, Crit0:6884,Crit1:-9468,Crit2:28,end
UG_1241=46, Crit0:1649,Crit1:-5570,Crit2:7,end
UG_1242=1, Crit0:684,Crit1:-5698,Crit2:9,end
UG_1243=1, Crit0:751,Crit1:-2146,Crit2:7,end
UG_1244=46700, Crit0:524,Crit1:-6340,Crit2:18,end
UG_1265=3, Crit0:3929,Crit1:-12383,Crit2:25,end
UG_1266=34, Crit0:4024,Crit1:-5415,Crit2:47,end
UG_1277=500, Crit0:427,Crit1:-14743,Crit2:4,end
UG_1319=310, Crit0:253,Crit1:-1056,Crit2:5,end
UG_1350=19, Crit0:1662,Crit1:-8151,Crit2:23,end
UG_1351=20700, Crit0:356,Crit1:-3675,Crit2:22,end
UG_1365=801, Crit0:0,Crit1:0,Crit2:26,end
UG_1371=800, Crit0:0,Crit1:0,Crit2:9,end
UG_1372=801, Crit0:0,Crit1:0,Crit2:7,end
UG_1373=801, Crit0:0,Crit1:0,Crit2:4,end
UG_1393=19, Crit0:1773,Crit1:-13315,Crit2:28,end
UG_1405=34, Crit0:742,Crit1:-20420,Crit2:7,end
Crit0=377407,Crit1=-502867,Crit2=2936,end
UG_720=1, Crit0:13323,Crit1:-19710,Crit2:130,end
UG_724=21700, Crit0:2964,Crit1:-3297,Crit2:174,end
UG_775=36, Crit0:20406,Crit1:-7904,Crit2:70,end
UG_776=1, Crit0:4535,Crit1:-3108,Crit2:16,end
UG_875=500, Crit0:2687,Crit1:-3489,Crit2:14,end
UG_876=34, Crit0:5140,Crit1:-3746,Crit2:39,end
UG_877=500, Crit0:1845,Crit1:-3608,Crit2:17,end
UG_878=1, Crit0:4439,Crit1:-3898,Crit2:43,end
UG_879=1, Crit0:6442,Crit1:-4095,Crit2:59,end
UG_880=35, Crit0:2052,Crit1:-4008,Crit2:27,end
UG_881=34, Crit0:3358,Crit1:-3842,Crit2:47,end
UG_882=34, Crit0:457,Crit1:-4025,Crit2:7,end
UG_883=20, Crit0:5503,Crit1:-4141,Crit2:66,end
UG_884=12, Crit0:3514,Crit1:-3875,Crit2:12,end
UG_885=35, Crit0:5587,Crit1:-4001,Crit2:49,end
UG_886=35, Crit0:8260,Crit1:-3446,Crit2:30,end
UG_887=19, Crit0:4361,Crit1:-4069,Crit2:45,end
UG_934=34, Crit0:4449,Crit1:-3762,Crit2:26,end
UG_935=34, Crit0:17687,Crit1:-3551,Crit2:78,end
UG_936=19, Crit0:3852,Crit1:-3861,Crit2:21,end
UG_937=34, Crit0:4051,Crit1:-3963,Crit2:32,end
UG_938=1, Crit0:3706,Crit1:-4060,Crit2:34,end
UG_939=19, Crit0:5909,Crit1:-3919,Crit2:35,end
UG_940=34, Crit0:3362,Crit1:-3469,Crit2:36,end
UG_941=21, Crit0:15639,Crit1:-3672,Crit2:64,end
UG_942=21, Crit0:3406,Crit1:-2368,Crit2:26,end
UG_943=19, Crit0:4518,Crit1:-3205,Crit2:25,end
UG_944=2, Crit0:7799,Crit1:-3732,Crit2:31,end
UG_945=19, Crit0:2462,Crit1:-4243,Crit2:35,end
UG_946=36700, Crit0:557,Crit1:-1994,Crit2:24,end
UG_947=35, Crit0:2089,Crit1:-3531,Crit2:20,end
UG_948=19, Crit0:1491,Crit1:-4243,Crit2:21,end
UG_949=35, Crit0:3769,Crit1:-3531,Crit2:37,end
UG_950=20, Crit0:7397,Crit1:-4273,Crit2:88,end
UG_951=35, Crit0:6974,Crit1:-3462,Crit2:26,end
UG_952=36, Crit0:2882,Crit1:-3379,Crit2:19,end
UG_953=20, Crit0:7838,Crit1:-3725,Crit2:35,end
UG_954=20, Crit0:4033,Crit1:-4110,Crit2:35,end
UG_955=35, Crit0:4228,Crit1:-3510,Crit2:40,end
UG_956=19, Crit0:1940,Crit1:-4150,Crit2:20,end
UG_957=20, Crit0:4319,Crit1:-4137,Crit2:49,end
UG_958=35, Crit0:2610,Crit1:-3999,Crit2:23,end
UG_959=35, Crit0:5688,Crit1:-4017,Crit2:53,end
UG_1007=35, Crit0:6489,Crit1:-8548,Crit2:25,end
UG_1008=34, Crit0:10510,Crit1:-6912,Crit2:34,end
UG_1009=21, Crit0:4014,Crit1:-6850,Crit2:22,end
UG_1011=36, Crit0:1231,Crit1:-7654,Crit2:13,end
UG_1012=500700, Crit0:969,Crit1:-3533,Crit2:39,end
UG_1015=34, Crit0:5154,Crit1:-7764,Crit2:37,end
UG_1096=19, Crit0:6364,Crit1:-7716,Crit2:38,end
UG_1105=500, Crit0:804,Crit1:-8831,Crit2:21,end
UG_1106=1, Crit0:7699,Crit1:-8282,Crit2:57,end
UG_1107=1, Crit0:1058,Crit1:-8530,Crit2:17,end
UG_1108=21, Crit0:15552,Crit1:-7244,Crit2:64,end
UG_1109=46700, Crit0:857,Crit1:-3935,Crit2:23,end
UG_1153=34, Crit0:18737,Crit1:-8363,Crit2:95,end
UG_1158=25, Crit0:7337,Crit1:-7674,Crit2:72,end
UG_1159=2, Crit0:3719,Crit1:-13259,Crit2:55,end
UG_1168=34, Crit0:2613,Crit1:-10370,Crit2:28,end
UG_1169=46, Crit0:3499,Crit1:-10270,Crit2:24,end
UG_1170=21, Crit0:3577,Crit1:-10676,Crit2:36,end
UG_1171=21, Crit0:2831,Crit1:-10661,Crit2:28,end
UG_1172=19, Crit0:5416,Crit1:-10789,Crit2:39,end
UG_1173=19, Crit0:1730,Crit1:-10789,Crit2:12,end
UG_1174=500, Crit0:725,Crit1:-11055,Crit2:8,end
UG_1175=35, Crit0:1844,Crit1:-6283,Crit2:23,end
UG_1176=34, Crit0:1937,Crit1:-10420,Crit2:23,end
UG_1177=19, Crit0:3544,Crit1:-6087,Crit2:20,end
UG_1191=34, Crit0:8668,Crit1:-4752,Crit2:36,end
UG_1192=34, Crit0:6884,Crit1:-9468,Crit2:28,end
UG_1241=46, Crit0:1649,Crit1:-5570,Crit2:7,end
UG_1242=1, Crit0:684,Crit1:-5698,Crit2:9,end
UG_1243=1, Crit0:751,Crit1:-2146,Crit2:7,end
UG_1244=46602, Crit0:79,Crit1:-3968,Crit2:13,end
UG_1265=3, Crit0:3929,Crit1:-12383,Crit2:25,end
UG_1266=34, Crit0:4024,Crit1:-5415,Crit2:47,end
UG_1277=500, Crit0:427,Crit1:-14743,Crit2:4,end
UG_1319=601, Crit0:41,Crit1:-540,Crit2:3,end
UG_1350=19, Crit0:1662,Crit1:-8151,Crit2:23,end
UG_1351=20700, Crit0:356,Crit1:-3675,Crit2:22,end
UG_1365=801, Crit0:0,Crit1:0,Crit2:26,end
UG_1371=800, Crit0:0,Crit1:0,Crit2:9,end
UG_1372=801, Crit0:0,Crit1:0,Crit2:7,end
UG_1373=801, Crit0:0,Crit1:0,Crit2:4,end
UG_1393=19, Crit0:1773,Crit1:-13315,Crit2:28,end
UG_1405=34, Crit0:742,Crit1:-20420,Crit2:7,end
Crit0=377852,Crit1=-505239,Crit2=2941,end
UG_720=1, Crit0:13323,Crit1:-19710,Crit2:130,end
UG_724=21700, Crit0:2964,Crit1:-3297,Crit2:174,end
UG_775=36, Crit0:20406,Crit1:-7904,Crit2:70,end
UG_776=1, Crit0:4535,Crit1:-3108,Crit2:16,end
UG_875=500, Crit0:2687,Crit1:-3489,Crit2:14,end
UG_876=34, Crit0:5140,Crit1:-3746,Crit2:39,end
UG_877=500, Crit0:1845,Crit1:-3608,Crit2:17,end
UG_878=1, Crit0:4439,Crit1:-3898,Crit2:43,end
UG_879=1, Crit0:6442,Crit1:-4095,Crit2:59,end
UG_880=35, Crit0:2052,Crit1:-4008,Crit2:27,end
UG_881=34, Crit0:3358,Crit1:-3842,Crit2:47,end
UG_882=34, Crit0:457,Crit1:-4025,Crit2:7,end
UG_883=20, Crit0:5503,Crit1:-4141,Crit2:66,end
UG_884=12, Crit0:3514,Crit1:-3875,Crit2:12,end
UG_885=35, Crit0:5587,Crit1:-4001,Crit2:49,end
UG_886=35, Crit0:8260,Crit1:-3446,Crit2:30,end
UG_887=19, Crit0:4361,Crit1:-4069,Crit2:45,end
UG_934=34, Crit0:4449,Crit1:-3762,Crit2:26,end
UG_935=34, Crit0:17687,Crit1:-3551,Crit2:78,end
UG_936=19, Crit0:3852,Crit1:-3861,Crit2:21,end
UG_937=34, Crit0:4051,Crit1:-3963,Crit2:32,end
UG_938=1, Crit0:3706,Crit1:-4060,Crit2:34,end
UG_939=19, Crit0:5909,Crit1:-3919,Crit2:35,end
UG_940=34, Crit0:3362,Crit1:-3469,Crit2:36,end
UG_941=21, Crit0:15639,Crit1:-3672,Crit2:64,end
UG_942=21, Crit0:3406,Crit1:-2368,Crit2:26,end
UG_943=19, Crit0:4518,Crit1:-3205,Crit2:25,end
UG_944=2, Crit0:7799,Crit1:-3732,Crit2:31,end
UG_945=19, Crit0:2462,Crit1:-4243,Crit2:35,end
UG_946=36700, Crit0:557,Crit1:-1994,Crit2:24,end
UG_947=35, Crit0:2089,Crit1:-3531,Crit2:20,end
UG_948=19, Crit0:1491,Crit1:-4243,Crit2:21,end
UG_949=35, Crit0:3769,Crit1:-3531,Crit2:37,end
UG_950=20, Crit0:7397,Crit1:-4273,Crit2:88,end
UG_951=35, Crit0:6974,Crit1:-3462,Crit2:26,end
UG_952=36, Crit0:2882,Crit1:-3379,Crit2:19,end
UG_953=20, Crit0:7838,Crit1:-3725,Crit2:35,end
UG_954=20, Crit0:4033,Crit1:-4110,Crit2:35,end
UG_955=35, Crit0:4228,Crit1:-3510,Crit2:40,end
UG_956=19, Crit0:1940,Crit1:-4150,Crit2:20,end
UG_957=20, Crit0:4319,Crit1:-4137,Crit2:49,end
UG_958=35, Crit0:2610,Crit1:-3999,Crit2:23,end
UG_959=35, Crit0:5688,Crit1:-4017,Crit2:53,end
UG_1007=35, Crit0:6489,Crit1:-8548,Crit2:25,end
UG_1008=34, Crit0:10510,Crit1:-6912,Crit2:34,end
UG_1009=21, Crit0:4014,Crit1:-6850,Crit2:22,end
UG_1011=36, Crit0:1231,Crit1:-7654,Crit2:13,end
UG_1012=500700, Crit0:969,Crit1:-3533,Crit2:39,end
UG_1015=34, Crit0:5154,Crit1:-7764,Crit2:37,end
UG_1096=19, Crit0:6364,Crit1:-7716,Crit2:38,end
UG_1105=500, Crit0:804,Crit1:-8831,Crit2:21,end
UG_1106=1, Crit0:7699,Crit1:-8282,Crit2:57,end
UG_1107=1, Crit0:1058,Crit1:-8530,Crit2:17,end
UG_1108=21, Crit0:15552,Crit1:-7244,Crit2:64,end
UG_1109=46700, Crit0:857,Crit1:-3935,Crit2:23,end
UG_1153=34, Crit0:18737,Crit1:-8363,Crit2:95,end
UG_1158=25, Crit0:7337,Crit1:-7674,Crit2:72,end
UG_1159=2, Crit0:3719,Crit1:-13259,Crit2:55,end
UG_1168=34, Crit0:2613,Crit1:-10370,Crit2:28,end
UG_1169=46, Crit0:3499,Crit1:-10270,Crit2:24,end
UG_1170=21, Crit0:3577,Crit1:-10676,Crit2:36,end
UG_1171=21, Crit0:2831,Crit1:-10661,Crit2:28,end
UG_1172=19, Crit0:5416,Crit1:-10789,Crit2:39,end
UG_1173=19, Crit0:1730,Crit1:-10789,Crit2:12,end
UG_1174=500, Crit0:725,Crit1:-11055,Crit2:8,end
UG_1175=35, Crit0:1844,Crit1:-6283,Crit2:23,end
UG_1176=34, Crit0:1937,Crit1:-10420,Crit2:23,end
UG_1177=19, Crit0:3544,Crit1:-6087,Crit2:20,end
UG_1191=34, Crit0:8668,Crit1:-4752,Crit2:36,end
UG_1192=34, Crit0:6884,Crit1:-9468,Crit2:28,end
UG_1241=46, Crit0:1649,Crit1:-5570,Crit2:7,end
UG_1242=1, Crit0:684,Crit1:-5698,Crit2:9,end
UG_1243=1, Crit0:751,Crit1:-2146,Crit2:7,end
UG_1244=46700, Crit0:524,Crit1:-6340,Crit2:18,end
UG_1265=3, Crit0:3929,Crit1:-12383,Crit2:25,end
UG_1266=34, Crit0:4024,Crit1:-5415,Crit2:47,end
UG_1277=500, Crit0:427,Crit1:-14743,Crit2:4,end
UG_1319=601, Crit0:41,Crit1:-540,Crit2:3,end
UG_1350=19, Crit0:1662,Crit1:-8151,Crit2:23,end
UG_1351=20700, Crit0:356,Crit1:-3675,Crit2:22,end
UG_1365=801, Crit0:0,Crit1:0,Crit2:26,end
UG_1371=800, Crit0:0,Crit1:0,Crit2:9,end
UG_1372=801, Crit0:0,Crit1:0,Crit2:7,end
UG_1373=801, Crit0:0,Crit1:0,Crit2:4,end
UG_1393=19, Crit0:1773,Crit1:-13315,Crit2:28,end
UG_1405=34, Crit0:742,Crit1:-20420,Crit2:7,end
Crit0=377636,Crit1=-503551,Crit2=2938,end
UG_720=1, Crit0:13323,Crit1:-19710,Crit2:130,end
UG_724=21700, Crit0:2964,Crit1:-3297,Crit2:174,end
UG_775=36, Crit0:20406,Crit1:-7904,Crit2:70,end
UG_776=1, Crit0:4535,Crit1:-3108,Crit2:16,end
UG_875=500, Crit0:2687,Crit1:-3489,Crit2:14,end
UG_876=34, Crit0:5140,Crit1:-3746,Crit2:39,end
UG_877=500, Crit0:1845,Crit1:-3608,Crit2:17,end
UG_878=1, Crit0:4439,Crit1:-3898,Crit2:43,end
UG_879=1, Crit0:6442,Crit1:-4095,Crit2:59,end
UG_880=35, Crit0:2052,Crit1:-4008,Crit2:27,end
UG_881=34, Crit0:3358,Crit1:-3842,Crit2:47,end
UG_882=34, Crit0:457,Crit1:-4025,Crit2:7,end
UG_883=20, Crit0:5503,Crit1:-4141,Crit2:66,end
UG_884=12, Crit0:3514,Crit1:-3875,Crit2:12,end
UG_885=35, Crit0:5587,Crit1:-4001,Crit2:49,end
UG_886=35, Crit0:8260,Crit1:-3446,Crit2:30,end
UG_887=19, Crit0:4361,Crit1:-4069,Crit2:45,end
UG_934=34, Crit0:4449,Crit1:-3762,Crit2:26,end
UG_935=34, Crit0:17687,Crit1:-3551,Crit2:78,end
UG_936=19, Crit0:3852,Crit1:-3861,Crit2:21,end
UG_937=34, Crit0:4051,Crit1:-3963,Crit2:32,end
UG_938=1, Crit0:3706,Crit1:-4060,Crit2:34,end
UG_939=19, Crit0:5909,Crit1:-3919,Crit2:35,end
UG_940=34, Crit0:3362,Crit1:-3469,Crit2:36,end
UG_941=21, Crit0:15639,Crit1:-3672,Crit2:64,end
UG_942=21, Crit0:3406,Crit1:-2368,Crit2:26,end
UG_943=19, Crit0:4518,Crit1:-3205,Crit2:25,end
UG_944=2, Crit0:7799,Crit1:-3732,Crit2:31,end
UG_945=19, Crit0:2462,Crit1:-4243,Crit2:35,end
UG_946=36700, Crit0:557,Crit1:-1994,Crit2:24,end
UG_947=35, Crit0:2089,Crit1:-3531,Crit2:20,end
UG_948=19, Crit0:1491,Crit1:-4243,Crit2:21,end
UG_949=35, Crit0:3769,Crit1:-3531,Crit2:37,end
UG_950=20, Crit0:7397,Crit1:-4273,Crit2:88,end
UG_951=35, Crit0:6974,Crit1:-3462,Crit2:26,end
UG_952=36, Crit0:2882,Crit1:-3379,Crit2:19,end
UG_953=20, Crit0:7838,Crit1:-3725,Crit2:35,end
UG_954=20, Crit0:4033,Crit1:-4110,Crit2:35,end
UG_955=35, Crit0:4228,Crit1:-3510,Crit2:40,end
UG_956=19, Crit0:1940,Crit1:-4150,Crit2:20,end
UG_957=20, Crit0:4319,Crit1:-4137,Crit2:49,end
UG_958=35, Crit0:2610,Crit1:-3999,Crit2:23,end
UG_959=35, Crit0:5688,Crit1:-4017,Crit2:53,end
UG_1007=35, Crit0:6489,Crit1:-8548,Crit2:25,end
UG_1008=34, Crit0:10510,Crit1:-6912,Crit2:34,end
UG_1009=21, Crit0:4014,Crit1:-6850,Crit2:22,end
UG_1011=36, Crit0:1231,Crit1:-7654,Crit2:13,end
UG_1012=500700, Crit0:969,Crit1:-3533,Crit2:39,end
UG_1015=34, Crit0:5154,Crit1:-7764,Crit2:37,end
UG_1096=19, Crit0:6364,Crit1:-7716,Crit2:38,end
UG_1105=500, Crit0:804,Crit1:-8831,Crit2:21,end
UG_1106=1, Crit0:7699,Crit1:-8282,Crit2:57,end
UG_1107=1, Crit0:1058,Crit1:-8530,Crit2:17,end
UG_1108=21, Crit0:15552,Crit1:-7244,Crit2:64,end
UG_1109=46700, Crit0:857,Crit1:-3935,Crit2:23,end
UG_1153=34, Crit0:18737,Crit1:-8363,Crit2:95,end
UG_1158=25, Crit0:7337,Crit1:-7674,Crit2:72,end
UG_1159=2, Crit0:3719,Crit1:-13259,Crit2:55,end
UG_1168=34, Crit0:2613,Crit1:-10370,Crit2:28,end
UG_1169=46, Crit0:3499,Crit1:-10270,Crit2:24,end
UG_1170=21, Crit0:3577,Crit1:-10676,Crit2:36,end
UG_1171=21, Crit0:2831,Crit1:-10661,Crit2:28,end
UG_1172=19, Crit0:5416,Crit1:-10789,Crit2:39,end
UG_1173=19, Crit0:1730,Crit1:-10789,Crit2:12,end
UG_1174=500, Crit0:725,Crit1:-11055,Crit2:8,end
UG_1175=35, Crit0:1844,Crit1:-6283,Crit2:23,end
UG_1176=34, Crit0:1937,Crit1:-10420,Crit2:23,end
UG_1177=19, Crit0:3544,Crit1:-6087,Crit2:20,end
UG_1191=34, Crit0:8668,Crit1:-4752,Crit2:36,end
UG_1192=34, Crit0:6884,Crit1:-9468,Crit2:28,end
UG_1241=46, Crit0:1649,Crit1:-5570,Crit2:7,end
UG_1242=1, Crit0:684,Crit1:-5698,Crit2:9,end
UG_1243=1, Crit0:751,Crit1:-2146,Crit2:7,end
UG_1244=46602, Crit0:79,Crit1:-3968,Crit2:13,end
UG_1265=3, Crit0:3929,Crit1:-12383,Crit2:25,end
UG_1266=34, Crit0:4024,Crit1:-5415,Crit2:47,end
UG_1277=500, Crit0:427,Crit1:-14743,Crit2:4,end
UG_1319=310, Crit0:253,Crit1:-1056,Crit2:5,end
UG_1350=19, Crit0:1662,Crit1:-8151,Crit2:23,end
UG_1351=21700, Crit0:373,Crit1:-3843,Crit2:22,end
UG_1365=801, Crit0:0,Crit1:0,Crit2:26,end
UG_1371=800, Crit0:0,Crit1:0,Crit2:9,end
UG_1372=801, Crit0:0,Crit1:0,Crit2:7,end
UG_1373=801, Crit0:0,Crit1:0,Crit2:4,end
UG_1393=19, Crit0:1773,Crit1:-13315,Crit2:28,end
UG_1405=34, Crit0:742,Crit1:-20420,Crit2:7,end
Crit0=378081,Crit1=-505923,Crit2=2943,end
UG_720=1, Crit0:13323,Crit1:-19710,Crit2:130,end
UG_724=21700, Crit0:2964,Crit1:-3297,Crit2:174,end
UG_775=36, Crit0:20406,Crit1:-7904,Crit2:70,end
UG_776=1, Crit0:4535,Crit1:-3108,Crit2:16,end
UG_875=500, Crit0:2687,Crit1:-3489,Crit2:14,end
UG_876=34, Crit0:5140,Crit1:-3746,Crit2:39,end
UG_877=500, Crit0:1845,Crit1:-3608,Crit2:17,end
UG_878=1, Crit0:4439,Crit1:-3898,Crit2:43,end
UG_879=1, Crit0:6442,Crit1:-4095,Crit2:59,end
UG_880=35, Crit0:2052,Crit1:-4008,Crit2:27,end
UG_881=34, Crit0:3358,Crit1:-3842,Crit2:47,end
UG_882=34, Crit0:457,Crit1:-4025,Crit2:7,end
UG_883=20, Crit0:5503,Crit1:-4141,Crit2:66,end
UG_884=12, Crit0:3514,Crit1:-3875,Crit2:12,end
UG_885=35, Crit0:5587,Crit1:-4001,Crit2:49,end
UG_886=35, Crit0:8260,Crit1:-3446,Crit2:30,end
UG_887=19, Crit0:4361,Crit1:-4069,Crit2:45,end
UG_934=34, Crit0:4449,Crit1:-3762,Crit2:26,end
UG_935=34, Crit0:17687,Crit1:-3551,Crit2:78,end
UG_936=19, Crit0:3852,Crit1:-3861,Crit2:21,end
UG_937=34, Crit0:4051,Crit1:-3963,Crit2:32,end
UG_938=1, Crit0:3706,Crit1:-4060,Crit2:34,end
UG_939=19, Crit0:5909,Crit1:-3919,Crit2:35,end
UG_940=34, Crit0:3362,Crit1:-3469,Crit2:36,end
UG_941=21, Crit0:15639,Crit1:-3672,Crit2:64,end
UG_942=21, Crit0:3406,Crit1:-2368,Crit2:26,end
UG_943=19, Crit0:4518,Crit1:-3205,Crit2:25,end
UG_944=2, Crit0:7799,Crit1:-3732,Crit2:31,end
UG_945=19, Crit0:2462,Crit1:-4243,Crit2:35,end
UG_946=36700, Crit0:557,Crit1:-1994,Crit2:24,end
UG_947=35, Crit0:2089,Crit1:-3531,Crit2:20,end
UG_948=19, Crit0:1491,Crit1:-4243,Crit2:21,end
UG_949=35, Crit0:3769,Crit1:-3531,Crit2:37,end
UG_950=20, Crit0:7397,Crit1:-4273,Crit2:88,end
UG_951=35, Crit0:6974,Crit1:-3462,Crit2:26,end
UG_952=36, Crit0:2882,Crit1:-3379,Crit2:19,end
UG_953=20, Crit0:7838,Crit1:-3725,Crit2:35,end
UG_954=20, Crit0:4033,Crit1:-4110,Crit2:35,end
UG_955=35, Crit0:4228,Crit1:-3510,Crit2:40,end
UG_956=19, Crit0:1940,Crit1:-4150,Crit2:20,end
UG_957=20, Crit0:4319,Crit1:-4137,Crit2:49,end
UG_958=35, Crit0:2610,Crit1:-3999,Crit2:23,end
UG_959=35, Crit0:5688,Crit1:-4017,Crit2:53,end
UG_1007=35, Crit0:6489,Crit1:-8548,Crit2:25,end
UG_1008=34, Crit0:10510,Crit1:-6912,Crit2:34,end
UG_1009=21, Crit0:4014,Crit1:-6850,Crit2:22,end
UG_1011=36, Crit0:1231,Crit1:-7654,Crit2:13,end
UG_1012=500700, Crit0:969,Crit1:-3533,Crit2:39,end
UG_1015=34, Crit0:5154,Crit1:-7764,Crit2:37,end
UG_1096=19, Crit0:6364,Crit1:-7716,Crit2:38,end
UG_1105=500, Crit0:804,Crit1:-8831,Crit2:21,end
UG_1106=1, Crit0:7699,Crit1:-8282,Crit2:57,end
UG_1107=1, Crit0:1058,Crit1:-8530,Crit2:17,end
